Component_ID,Lot_ID,True_Class,Anomaly_Score,IF_Prediction,Predicted_Anomaly
C28-051,L28,NORMAL,-0.12366735206354196,1,0
C39-057,L39,LATENT_DEFECT,0.0656229749476549,-1,1
C35-033,L35,NORMAL,-0.1252383713164582,1,0
C31-046,L31,NORMAL,-0.0849480304279212,1,0
C08-010,L08,NORMAL,-0.08475944893449294,1,0
C38-042,L38,NORMAL,-0.10719103697592036,1,0
C28-067,L28,NORMAL,-0.13609686726099562,1,0
C28-082,L28,NORMAL,-0.10218682778183463,1,0
C22-088,L22,NORMAL,-0.10192477487772084,1,0
C08-026,L08,NORMAL,-0.07521863926352734,1,0
C28-048,L28,NORMAL,-0.12668584137120958,1,0
C43-021,L43,NORMAL,-0.13075249771116576,1,0
C46-076,L46,NORMAL,-0.051546831719749386,1,0
C17-088,L17,NORMAL,-0.11124015705935109,1,0
C11-058,L11,NORMAL,-0.1074833082843607,1,0
C17-056,L17,NORMAL,-0.09642613174011017,1,0
C19-043,L19,NORMAL,-0.10536845128338385,1,0
C26-060,L26,NORMAL,-0.09176227754439631,1,0
C48-035,L48,NORMAL,-0.12931969483925565,1,0
C40-061,L40,NORMAL,-0.12336393234437454,1,0
C05-085,L05,LATENT_DEFECT,0.03770147829597159,-1,1
C31-072,L31,NORMAL,-0.11200224956466048,1,0
C08-015,L08,NORMAL,-0.06298788850958592,1,0
C27-002,L27,NORMAL,-0.13326292635934534,1,0
C21-095,L21,NORMAL,-0.08644013805961748,1,0
C25-037,L25,NORMAL,-0.0771595861463471,1,0
C16-094,L16,NORMAL,-0.13572123189649093,1,0
C08-047,L08,NORMAL,-0.05530399597072255,1,0
C28-015,L28,NORMAL,-0.11638136497107637,1,0
C50-090,L50,NORMAL,-0.025527954831317035,1,0
C46-088,L46,NORMAL,-0.07633352604276522,1,0
C31-022,L31,NORMAL,-0.07700940930816869,1,0
C38-051,L38,NORMAL,-0.10834199224214586,1,0
C18-090,L18,NORMAL,-0.11399367937372362,1,0
C47-098,L47,NORMAL,-0.10589742078913383,1,0
C45-078,L45,NORMAL,-0.08380956825400893,1,0
C05-071,L05,NORMAL,-0.08830508028173978,1,0
C05-080,L05,NORMAL,-0.09140065503911476,1,0
C16-013,L16,NORMAL,-0.12020885820247856,1,0
